Subject,Time,Type,Variable,Score_Rater1,Score_Rater2
1,Pre,KC,Variation,1,1
4,Pre,KC,Variation,1,1
5,Pre,KC,Variation,0,1
6,Pre,KC,Variation,0,0
7,Pre,KC,Variation,1,1
8,Pre,KC,Variation,1,0
9,Pre,KC,Variation,1,1
11,Pre,KC,Variation,1,1
12,Pre,KC,Variation,0,1
13,Pre,KC,Variation,0,1
14,Pre,KC,Variation,1,1
15,Pre,KC,Variation,1,1
16,Pre,KC,Variation,1,1
17,Pre,KC,Variation,1,0
18,Pre,KC,Variation,1,1
19,Pre,KC,Variation,1,0
20,Pre,KC,Variation,1,1
21,Pre,KC,Variation,1,1
22,Pre,KC,Variation,1,0
23,Pre,KC,Variation,1,1
24,Pre,KC,Variation,0,0
25,Pre,KC,Variation,1,1
27,Pre,KC,Variation,1,1
28,Pre,KC,Variation,1,1
29,Pre,KC,Variation,1,1
30,Pre,KC,Variation,1,1
32,Pre,KC,Variation,1,1
33,Pre,KC,Variation,0,0
34,Pre,KC,Variation,1,1
35,Pre,KC,Variation,1,1
36,Pre,KC,Variation,1,1
37,Pre,KC,Variation,1,1
38,Pre,KC,Variation,1,1
39,Pre,KC,Variation,1,1
1,Post,KC,Variation,1,1
4,Post,KC,Variation,1,1
5,Post,KC,Variation,1,1
6,Post,KC,Variation,0,1
7,Post,KC,Variation,1,1
8,Post,KC,Variation,1,1
9,Post,KC,Variation,1,1
11,Post,KC,Variation,1,1
12,Post,KC,Variation,1,1
13,Post,KC,Variation,1,1
14,Post,KC,Variation,1,1
15,Post,KC,Variation,1,1
16,Post,KC,Variation,1,1
17,Post,KC,Variation,1,1
18,Post,KC,Variation,1,1
19,Post,KC,Variation,1,0
20,Post,KC,Variation,1,1
21,Post,KC,Variation,1,1
22,Post,KC,Variation,1,0
23,Post,KC,Variation,1,1
24,Post,KC,Variation,1,1
25,Post,KC,Variation,1,1
27,Post,KC,Variation,1,1
28,Post,KC,Variation,1,1
29,Post,KC,Variation,1,1
30,Post,KC,Variation,1,1
32,Post,KC,Variation,1,1
33,Post,KC,Variation,1,1
34,Post,KC,Variation,1,1
35,Post,KC,Variation,1,1
36,Post,KC,Variation,1,1
37,Post,KC,Variation,1,1
38,Post,KC,Variation,1,1
39,Post,KC,Variation,1,1
1,Pre,KC,Heritability,0,0
4,Pre,KC,Heritability,0,0
5,Pre,KC,Heritability,1,1
6,Pre,KC,Heritability,0,0
7,Pre,KC,Heritability,1,1
8,Pre,KC,Heritability,1,0
9,Pre,KC,Heritability,1,1
11,Pre,KC,Heritability,1,0
12,Pre,KC,Heritability,0,0
