Subject,Time,KCVariation_Rater1,KCHeritability_Rater1,KCCompetition_Rater1,KCLimitedResources_Rater1,KCDiffSurvival_Rater1,KCNonAdaptive_Rater1,NIAdapt_Rater1,NINeed_Rater1,NIUse_Rater1,KCScore_Rater1,NIScore_Rater1,KCVariation_Rater2,KCHeritability_Rater2,KCCompetition_Rater2,KCLimitedResources_Rater2,KCDiffSurvival_Rater2,KCNonAdaptive_Rater2,NIAdapt_Rater2,NINeed_Rater2,NIUse_Rater2,KCScore_Rater2,NIScore_Rater2
1,Pre,1,0,1,1,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,2,0
4,Pre,1,0,0,0,1,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,2,0
5,Pre,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0
6,Pre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pre,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,0
8,Pre,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9,Pre,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,0
11,Pre,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0
12,Pre,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,0,1,2,1
13,Pre,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
14,Pre,1,0,0,0,1,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,2,0
15,Pre,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,0
16,Pre,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0
17,Pre,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
18,Pre,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0
19,Pre,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1
20,Pre,1,1,0,0,1,0,1,0,0,3,1,1,0,0,0,1,0,0,0,0,2,0
21,Pre,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0
22,Pre,1,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
23,Pre,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0
24,Pre,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
