SID,Item_1,Item_2
1,"An antibiotic enters a microbial population and kills all the bacteria that is susceptable to it. This leaves very little bacteria, but that bacteria has mutations that allow it to survive. This little bit of bacteria then has all the room and nutrients left by the other bacteria. It then multiplies within the body and this keeps happening until its the main bacteria because antibiotics have gotten rid of the rest so it can take over and make you sick and nothing can kill it.","Antibiotic resistance is a natural protective mechanism microbial populations use to fight antibiotics. Advantageous mutations occur and are selected for by antibiotics. Then the bacteria w/out those mutations are killed, leaving only those not susceptable to antibiotics with more space and resources."
4,"Microbial resistance to antibiotic can be present due to mutation or evolution. In some cases resistance can be caused by chance, thus resulting in a population growth containing the mutation due to the survival rate. In other cases, evolution can cause resistance by ""over usage"" of the antibiotic. If the bacteria is continuously exposed to an antibiotic, the ability to evolve/adapt are greatly higher and resistant is most likely to occurr!","Microbial populations develop antibiotic resistance through multiple ways! Some resistance can evolve through chance, or in order words mutation. Since mutations are random, ""they"" arise anytime and anywhere, but the key is if the mutation is beneficial for the microbe. If the mutation is benefitial, than the microb will reproduce and spread the mutated genes, thus resistance grows/evolves within the population. Also mutated genes can be exchanged within members of the population through plasmids. By exchanging genes, the population can also reproduce + spread the mutated genes."
5,"When a microbial population encounters an antibiotic the microbial will most likely die. However when the microbial population is exposed to an antibiotic, but that micro was not the strongest it will pass down its genetic information to its offspring. As time goes on the microbials will grow stronger until the antibiotics can no longer kill the microbial population. ",Microbial populations evolves resistance to antibiotics by mutations. After the microbial population is exposed to antibiotics for a period of time some species of the population will mutate to have a stronger resistance. When this resistance occurs the DNA from the resistant microbial will be passed on causing the population to continue to grow.
6,"By the bacteria being affected by the antibiotic to eliminate itself. It may be hard to fight the bacteria off, if it is a large amount present.","A microbial population evolves resistance to the effects of an antibiotic by the spreading of the bacteria, and the cells multiplying through binary fission. Through mutation, the antibiotic binds to a protein so the protein can't function properly, which is evolved in copying the DNA, this would cause more bacteria growth possibly causing resistance."
7,"Random mutations occur in the genes of bacteria to help them evolve. When a population of bacteria is exposed to an antibiotic, most of them might die, but any with a chance mutation to help resist the antibiotic will survive. These survivors will then pass on their resistant genes. Then the antibiotic resistant bacteria population grows.","In a microbial population, mutations happen by chance. So when exposed to antibiotics, the microbials that happen to have a mutation that gives them resistance will survive while the others are killed. These surviving bacteria will reproduce which means that their offspring will likely have the same mutation to be resistant. This resistant population will grow over time. In short, the bacteria mutate at random, the environment selects for mutations that increase fitness."
8,An antibiotic is introduced to a population of bacteria. It kills the majority (ideally) but some bacteria survive due to a natural resistance to the antibiotic. Those survivors then replicate into another large population and this time they are all resistant to the antibiotic.,"An individual in the population could have slight resistance to an antibiotic. After an antibiotic is introduced into the population only that organism could survive, likely in a weakened state. They then ""replenish"" the population, which now all have the slight resistance. Through a random mutation, the slight resistance could become full blown resistance. So if there's an individual with complete resistance, the same process could lead to a resistant population."
9,"During DNA replication, a mutation could arise that would allow the microbe to resist the antibiotic and survive. While the antibiotic kills off much of the microbial population, those w/a mutation that helps them survive will continue to replicate + pass on that mutation until the population develops resistance.","Antibiotics kill off most of a microbial population; however, some individuals can randomly develop a mutation that combats the effects of the antibiotic. These individuals survive and proliferate, spreading their mutation for antibiotic resistance to other members of the population. Once all the bacteria have this mutation, the antibiotic is essentially worthless and antibiotic resistance has emerged."
11,"In the large microbial population, some (very few) have mutated genes (rare occurance) which allow them to resist antibiotics. When antibiotics are introduced, these mutated microbes are the only ones abl eto survive, so they live on and produce more microbes which also carry the gene/s for antibiotic resistance.","Wild population has antibiotic introduced: Antibiotic kills almost all the population. Some have random mutation that lets them survive antibiotic. Surviving microbes start new population, with every member inheriting the mutation that resists the antibiotic. Mutant population is now resistant to the antibiotic."
12,As antibiotic are used to kill off bacteria that bacteria experiences mutations that makes the bacteria resistant to the antibiotics. The more the antibiotic is used the more resistant it will become.,"Through mutation  &gene exchange. This mutated organism will survive & reproduce where the non mutated organism will die leaving the population with only resistant organisms in the population. The more you use antibiotic, the stronger the population becomes resistant."
13,"It is the same theory in which Darwin built himself/his reputation on, only the strong survive. With animals it was the ones that could adapt to their environment lived and then grew back up. It is the same thing in a microbial population, over time within their makeup they become unaffected by an antibiotic rebuild (?) + the cycle begins again.",A microbial population evolves a resnstance to an antibiotic through the idea or survival of the fittest. Each organism in a population possesses a different genetic make up w/different mutations throughout their DNA sequence. W/these mutations in place certain organisms are resistant to antibiotics & over time these become the dominant species within the microbial population.
