Subject,Time,Type,Variable,Score_Rater1,Score_Rater2
1,Pre,KC,Variation,1,1
2,Pre,KC,Variation,0,0
3,Pre,KC,Variation,1,1
4,Pre,KC,Variation,0,0
6,Pre,KC,Variation,0,0
7,Pre,KC,Variation,1,1
8,Pre,KC,Variation,1,1
9,Pre,KC,Variation,1,1
10,Pre,KC,Variation,0,1
11,Pre,KC,Variation,0,1
12,Pre,KC,Variation,0,1
13,Pre,KC,Variation,0,1
14,Pre,KC,Variation,1,1
15,Pre,KC,Variation,0,0
16,Pre,KC,Variation,1,1
17,Pre,KC,Variation,0,0
18,Pre,KC,Variation,1,0
19,Pre,KC,Variation,1,1
20,Pre,KC,Variation,0,0
21,Pre,KC,Variation,0,1
22,Pre,KC,Variation,0,0
23,Pre,KC,Variation,1,0
24,Pre,KC,Variation,1,1
25,Pre,KC,Variation,0,0
26,Pre,KC,Variation,1,1
27,Pre,KC,Variation,1,1
28,Pre,KC,Variation,1,1
29,Pre,KC,Variation,1,1
31,Pre,KC,Variation,1,1
32,Pre,KC,Variation,1,1
33,Pre,KC,Variation,0,1
34,Pre,KC,Variation,1,1
36,Pre,KC,Variation,1,1
37,Pre,KC,Variation,1,1
38,Pre,KC,Variation,1,1
39,Pre,KC,Variation,1,1
1,Post,KC,Variation,1,1
2,Post,KC,Variation,1,1
3,Post,KC,Variation,1,1
4,Post,KC,Variation,1,1
6,Post,KC,Variation,0,1
7,Post,KC,Variation,1,1
8,Post,KC,Variation,1,1
9,Post,KC,Variation,1,1
10,Post,KC,Variation,1,0
11,Post,KC,Variation,0,1
12,Post,KC,Variation,1,1
13,Post,KC,Variation,1,1
14,Post,KC,Variation,1,1
15,Post,KC,Variation,1,1
16,Post,KC,Variation,0,1
17,Post,KC,Variation,1,0
18,Post,KC,Variation,1,1
19,Post,KC,Variation,1,0
20,Post,KC,Variation,1,1
21,Post,KC,Variation,0,0
22,Post,KC,Variation,0,0
23,Post,KC,Variation,1,1
24,Post,KC,Variation,1,1
25,Post,KC,Variation,1,1
26,Post,KC,Variation,1,1
27,Post,KC,Variation,1,1
28,Post,KC,Variation,1,1
29,Post,KC,Variation,1,1
31,Post,KC,Variation,1,1
32,Post,KC,Variation,1,1
33,Post,KC,Variation,1,1
34,Post,KC,Variation,1,1
36,Post,KC,Variation,1,1
37,Post,KC,Variation,1,1
38,Post,KC,Variation,1,1
39,Post,KC,Variation,0,0
1,Pre,KC,Heritability,0,0
2,Pre,KC,Heritability,0,0
3,Pre,KC,Heritability,0,0
4,Pre,KC,Heritability,0,0
6,Pre,KC,Heritability,0,0
7,Pre,KC,Heritability,0,0
8,Pre,KC,Heritability,0,0
9,Pre,KC,Heritability,0,0
10,Pre,KC,Heritability,0,0
11,Pre,KC,Heritability,0,0
12,Pre,KC,Heritability,0,0
13,Pre,KC,Heritability,0,0
14,Pre,KC,Heritability,0,0
15,Pre,KC,Heritability,0,0
16,Pre,KC,Heritability,1,1
17,Pre,KC,Heritability,0,0
18,Pre,KC,Heritability,0,0
19,Pre,KC,Heritability,0,0
20,Pre,KC,Heritability,0,0
21,Pre,KC,Heritability,0,1
22,Pre,KC,Heritability,0,0
23,Pre,KC,Heritability,1,0
24,Pre,KC,Heritability,1,0
25,Pre,KC,Heritability,0,0
26,Pre,KC,Heritability,0,0
27,Pre,KC,Heritability,0,0
28,Pre,KC,Heritability,0,0
29,Pre,KC,Heritability,1,0
31,Pre,KC,Heritability,0,0
32,Pre,KC,Heritability,0,0
33,Pre,KC,Heritability,0,0
34,Pre,KC,Heritability,0,1
36,Pre,KC,Heritability,0,0
37,Pre,KC,Heritability,1,0
38,Pre,KC,Heritability,1,0
39,Pre,KC,Heritability,0,0
1,Post,KC,Heritability,0,0
2,Post,KC,Heritability,0,0
3,Post,KC,Heritability,1,1
4,Post,KC,Heritability,1,1
6,Post,KC,Heritability,0,0
7,Post,KC,Heritability,0,0
8,Post,KC,Heritability,1,0
9,Post,KC,Heritability,1,0
10,Post,KC,Heritability,0,0
11,Post,KC,Heritability,0,0
12,Post,KC,Heritability,0,0
13,Post,KC,Heritability,0,0
14,Post,KC,Heritability,1,1
15,Post,KC,Heritability,1,1
16,Post,KC,Heritability,0,1
17,Post,KC,Heritability,0,0
18,Post,KC,Heritability,1,0
19,Post,KC,Heritability,0,0
20,Post,KC,Heritability,0,0
21,Post,KC,Heritability,0,0
22,Post,KC,Heritability,0,0
23,Post,KC,Heritability,0,0
24,Post,KC,Heritability,0,0
25,Post,KC,Heritability,1,0
26,Post,KC,Heritability,0,0
27,Post,KC,Heritability,1,0
28,Post,KC,Heritability,1,0
29,Post,KC,Heritability,1,0
31,Post,KC,Heritability,1,1
32,Post,KC,Heritability,1,1
33,Post,KC,Heritability,1,0
34,Post,KC,Heritability,1,1
36,Post,KC,Heritability,0,0
37,Post,KC,Heritability,1,0
38,Post,KC,Heritability,0,0
39,Post,KC,Heritability,0,0
1,Pre,KC,Competition,0,0
2,Pre,KC,Competition,0,0
3,Pre,KC,Competition,0,0
4,Pre,KC,Competition,0,0
6,Pre,KC,Competition,0,0
7,Pre,KC,Competition,0,0
8,Pre,KC,Competition,0,0
9,Pre,KC,Competition,0,0
10,Pre,KC,Competition,0,0
11,Pre,KC,Competition,0,0
12,Pre,KC,Competition,0,0
13,Pre,KC,Competition,0,0
14,Pre,KC,Competition,0,0
15,Pre,KC,Competition,0,0
16,Pre,KC,Competition,0,0
17,Pre,KC,Competition,0,0
18,Pre,KC,Competition,0,0
19,Pre,KC,Competition,0,0
20,Pre,KC,Competition,0,0
21,Pre,KC,Competition,0,0
22,Pre,KC,Competition,0,0
23,Pre,KC,Competition,1,0
24,Pre,KC,Competition,0,0
25,Pre,KC,Competition,0,0
26,Pre,KC,Competition,0,0
27,Pre,KC,Competition,0,0
28,Pre,KC,Competition,0,0
29,Pre,KC,Competition,0,0
31,Pre,KC,Competition,0,0
32,Pre,KC,Competition,0,0
33,Pre,KC,Competition,0,0
34,Pre,KC,Competition,0,0
36,Pre,KC,Competition,0,0
37,Pre,KC,Competition,0,0
38,Pre,KC,Competition,0,0
39,Pre,KC,Competition,0,0
1,Post,KC,Competition,0,0
2,Post,KC,Competition,0,0
3,Post,KC,Competition,0,0
4,Post,KC,Competition,0,0
6,Post,KC,Competition,0,0
7,Post,KC,Competition,0,0
8,Post,KC,Competition,0,0
9,Post,KC,Competition,0,0
10,Post,KC,Competition,1,1
11,Post,KC,Competition,0,0
12,Post,KC,Competition,0,0
13,Post,KC,Competition,0,0
14,Post,KC,Competition,0,0
15,Post,KC,Competition,0,0
16,Post,KC,Competition,0,0
17,Post,KC,Competition,0,0
18,Post,KC,Competition,0,0
19,Post,KC,Competition,0,0
20,Post,KC,Competition,0,0
21,Post,KC,Competition,0,0
22,Post,KC,Competition,0,0
23,Post,KC,Competition,0,0
24,Post,KC,Competition,0,0
25,Post,KC,Competition,0,0
26,Post,KC,Competition,0,0
27,Post,KC,Competition,0,0
28,Post,KC,Competition,0,0
29,Post,KC,Competition,0,0
31,Post,KC,Competition,0,0
32,Post,KC,Competition,0,0
33,Post,KC,Competition,0,0
34,Post,KC,Competition,1,1
36,Post,KC,Competition,0,0
37,Post,KC,Competition,0,0
38,Post,KC,Competition,0,0
39,Post,KC,Competition,0,0
1,Pre,KC,LimitedResources,0,1
2,Pre,KC,LimitedResources,0,1
3,Pre,KC,LimitedResources,0,1
4,Pre,KC,LimitedResources,0,0
6,Pre,KC,LimitedResources,0,0
7,Pre,KC,LimitedResources,0,0
8,Pre,KC,LimitedResources,0,0
9,Pre,KC,LimitedResources,0,1
10,Pre,KC,LimitedResources,0,0
11,Pre,KC,LimitedResources,0,1
12,Pre,KC,LimitedResources,0,0
13,Pre,KC,LimitedResources,0,0
14,Pre,KC,LimitedResources,0,0
15,Pre,KC,LimitedResources,0,1
16,Pre,KC,LimitedResources,0,0
17,Pre,KC,LimitedResources,0,1
18,Pre,KC,LimitedResources,0,0
19,Pre,KC,LimitedResources,0,0
20,Pre,KC,LimitedResources,1,1
21,Pre,KC,LimitedResources,0,1
22,Pre,KC,LimitedResources,0,0
23,Pre,KC,LimitedResources,1,0
24,Pre,KC,LimitedResources,0,0
25,Pre,KC,LimitedResources,0,0
26,Pre,KC,LimitedResources,0,0
27,Pre,KC,LimitedResources,0,1
28,Pre,KC,LimitedResources,1,0
29,Pre,KC,LimitedResources,0,0
31,Pre,KC,LimitedResources,0,1
32,Pre,KC,LimitedResources,0,0
33,Pre,KC,LimitedResources,0,0
34,Pre,KC,LimitedResources,0,0
36,Pre,KC,LimitedResources,0,1
37,Pre,KC,LimitedResources,0,0
38,Pre,KC,LimitedResources,0,0
39,Pre,KC,LimitedResources,0,1
1,Post,KC,LimitedResources,1,1
2,Post,KC,LimitedResources,0,0
3,Post,KC,LimitedResources,0,1
4,Post,KC,LimitedResources,0,0
6,Post,KC,LimitedResources,0,0
7,Post,KC,LimitedResources,1,1
8,Post,KC,LimitedResources,0,1
9,Post,KC,LimitedResources,0,0
10,Post,KC,LimitedResources,0,1
11,Post,KC,LimitedResources,0,1
12,Post,KC,LimitedResources,0,0
13,Post,KC,LimitedResources,0,1
14,Post,KC,LimitedResources,0,0
15,Post,KC,LimitedResources,0,1
16,Post,KC,LimitedResources,0,0
17,Post,KC,LimitedResources,1,0
18,Post,KC,LimitedResources,0,1
19,Post,KC,LimitedResources,0,1
20,Post,KC,LimitedResources,0,1
21,Post,KC,LimitedResources,0,0
22,Post,KC,LimitedResources,0,1
23,Post,KC,LimitedResources,0,0
24,Post,KC,LimitedResources,0,0
25,Post,KC,LimitedResources,0,0
26,Post,KC,LimitedResources,0,0
27,Post,KC,LimitedResources,0,1
28,Post,KC,LimitedResources,1,1
29,Post,KC,LimitedResources,1,1
31,Post,KC,LimitedResources,0,1
32,Post,KC,LimitedResources,0,0
33,Post,KC,LimitedResources,0,0
34,Post,KC,LimitedResources,0,0
36,Post,KC,LimitedResources,0,1
37,Post,KC,LimitedResources,0,1
38,Post,KC,LimitedResources,0,0
39,Post,KC,LimitedResources,0,1
1,Pre,KC,DiffSurvival,0,1
2,Pre,KC,DiffSurvival,0,1
3,Pre,KC,DiffSurvival,0,0
4,Pre,KC,DiffSurvival,1,1
6,Pre,KC,DiffSurvival,0,0
7,Pre,KC,DiffSurvival,1,1
8,Pre,KC,DiffSurvival,1,0
9,Pre,KC,DiffSurvival,0,0
10,Pre,KC,DiffSurvival,0,0
11,Pre,KC,DiffSurvival,0,0
12,Pre,KC,DiffSurvival,0,0
13,Pre,KC,DiffSurvival,0,0
14,Pre,KC,DiffSurvival,1,1
15,Pre,KC,DiffSurvival,0,0
16,Pre,KC,DiffSurvival,0,1
17,Pre,KC,DiffSurvival,0,0
18,Pre,KC,DiffSurvival,1,1
19,Pre,KC,DiffSurvival,0,1
20,Pre,KC,DiffSurvival,1,1
21,Pre,KC,DiffSurvival,0,0
22,Pre,KC,DiffSurvival,0,0
23,Pre,KC,DiffSurvival,1,1
24,Pre,KC,DiffSurvival,1,0
25,Pre,KC,DiffSurvival,0,1
26,Pre,KC,DiffSurvival,1,1
27,Pre,KC,DiffSurvival,1,1
28,Pre,KC,DiffSurvival,1,1
29,Pre,KC,DiffSurvival,0,1
31,Pre,KC,DiffSurvival,1,0
32,Pre,KC,DiffSurvival,0,1
33,Pre,KC,DiffSurvival,0,0
34,Pre,KC,DiffSurvival,1,1
36,Pre,KC,DiffSurvival,1,0
37,Pre,KC,DiffSurvival,1,1
38,Pre,KC,DiffSurvival,1,1
39,Pre,KC,DiffSurvival,0,0
1,Post,KC,DiffSurvival,0,0
2,Post,KC,DiffSurvival,0,1
3,Post,KC,DiffSurvival,0,1
4,Post,KC,DiffSurvival,0,0
6,Post,KC,DiffSurvival,0,0
7,Post,KC,DiffSurvival,1,1
8,Post,KC,DiffSurvival,0,1
9,Post,KC,DiffSurvival,0,1
10,Post,KC,DiffSurvival,0,1
11,Post,KC,DiffSurvival,0,1
12,Post,KC,DiffSurvival,0,0
13,Post,KC,DiffSurvival,1,1
14,Post,KC,DiffSurvival,0,0
15,Post,KC,DiffSurvival,0,1
16,Post,KC,DiffSurvival,0,1
17,Post,KC,DiffSurvival,0,0
18,Post,KC,DiffSurvival,0,1
19,Post,KC,DiffSurvival,1,0
20,Post,KC,DiffSurvival,0,1
